DATAFLOW,LAST UPDATE,freq,indic_de,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:TPS00019(1.0),05/07/21 23:00:00,A,CNMIGRATRT,BE,2010,7.9,
ESTAT:TPS00019(1.0),05/07/21 23:00:00,A,CNMIGRATRT,BE,2011,4.6,b
ESTAT:TPS00019(1.0),05/07/21 23:00:00,A,CNMIGRATRT,BE,2012,3.9,b
ESTAT:TPS00019(1.0),05/07/21 23:00:00,A,CNMIGRATRT,BE,2013,2.4,
ESTAT:TPS00019(1.0),05/07/21 23:00:00,A,CNMIGRATRT,BE,2014,3.2,
ESTAT:TPS00019(1.0),05/07/21 23:00:00,A,CNMIGRATRT,BE,2015,5.5,
ESTAT:TPS00019(1.0),05/07/21 23:00:00,A,CNMIGRATRT,BE,2016,2.4,
ESTAT:TPS00019(1.0),05/07/21 23:00:00,A,CNMIGRATRT,BE,2017,3.2,
ESTAT:TPS00019(1.0),05/07/21 23:00:00,A,CNMIGRATRT,BE,2018,4.3,
ESTAT:TPS00019(1.0),05/07/21 23:00:00,A,CNMIGRATRT,BE,2019,5.0,
ESTAT:TPS00019(1.0),05/07/21 23:00:00,A,CNMIGRATRT,BE,2020,4.9,p
ESTAT:TPS00019(1.0),05/07/21 23:00:00,A,CNMIGRATRT,BG,2009,-2.5,
ESTAT:TPS00019(1.0),05/07/21 23:00:00,A,CNMIGRATRT,BG,2010,-2.4,
ESTAT:TPS00019(1.0),05/07/21 23:00:00,A,CNMIGRATRT,BG,2011,-0.7,
ESTAT:TPS00019(1.0),05/07/21 23:00:00,A,CNMIGRATRT,BG,2012,-0.3,
ESTAT:TPS00019(1.0),05/07/21 23:00:00,A,CNMIGRATRT,BG,2013,-0.2,
ESTAT:TPS00019(1.0),05/07/21 23:00:00,A,CNMIGRATRT,BG,2014,-0.3,
ESTAT:TPS00019(1.0),05/07/21 23:00:00,A,CNMIGRATRT,BG,2015,-0.6,
ESTAT:TPS00019(1.0),05/07/21 23:00:00,A,CNMIGRATRT,BG,2016,-1.3,
ESTAT:TPS00019(1.0),05/07/21 23:00:00,A,CNMIGRATRT,BG,2017,-0.8,
ESTAT:TPS00019(1.0),05/07/21 23:00:00,A,CNMIGRATRT,BG,2018,-0.5,
ESTAT:TPS00019(1.0),05/07/21 23:00:00,A,CNMIGRATRT,BG,2019,-0.3,
ESTAT:TPS00019(1.0),05/07/21 23:00:00,A,CNMIGRATRT,BG,2020,4.4,
ESTAT:TPS00019(1.0),05/07/21 23:00:00,A,CNMIGRATRT,BY,2009,-17.3,
ESTAT:TPS00019(1.0),05/07/21 23:00:00,A,CNMIGRATRT,BY,2010,3.2,
ESTAT:TPS00019(1.0),05/07/21 23:00:00,A,CNMIGRATRT,BY,2011,1.0,
ESTAT:TPS00019(1.0),05/07/21 23:00:00,A,CNMIGRATRT,BY,2012,1.0,
ESTAT:TPS00019(1.0),05/07/21 23:00:00,A,CNMIGRATRT,BY,2014,1.7,
ESTAT:TPS00019(1.0),05/07/21 23:00:00,A,CNMIGRATRT,BY,2015,1.9,e
ESTAT:TPS00019(1.0),05/07/21 23:00:00,A,CNMIGRATRT,BY,2016,0.8,
ESTAT:TPS00019(1.0),05/07/21 23:00:00,A,CNMIGRATRT,BY,2017,0.4,
ESTAT:TPS00019(1.0),05/07/21 23:00:00,A,CNMIGRATRT,BY,2018,1.0,
ESTAT:TPS00019(1.0),05/07/21 23:00:00,A,CNMIGRATRT,BY,2019,1.5,
ESTAT:TPS00019(1.0),05/07/21 23:00:00,A,CNMIGRATRT,CH,2009,8.8,
ESTAT:TPS00019(1.0),05/07/21 23:00:00,A,CNMIGRATRT,CH,2010,7.7,
ESTAT:TPS00019(1.0),05/07/21 23:00:00,A,CNMIGRATRT,CH,2011,8.3,b
ESTAT:TPS00019(1.0),05/07/21 23:00:00,A,CNMIGRATRT,CH,2012,8.3,
ESTAT:TPS00019(1.0),05/07/21 23:00:00,A,CNMIGRATRT,CH,2013,10.2,
ESTAT:TPS00019(1.0),05/07/21 23:00:00,A,CNMIGRATRT,CH,2014,9.4,
ESTAT:TPS00019(1.0),05/07/21 23:00:00,A,CNMIGRATRT,CH,2015,8.5,
ESTAT:TPS00019(1.0),05/07/21 23:00:00,A,CNMIGRATRT,CH,2016,8.3,
ESTAT:TPS00019(1.0),05/07/21 23:00:00,A,CNMIGRATRT,CH,2017,5.2,
ESTAT:TPS00019(1.0),05/07/21 23:00:00,A,CNMIGRATRT,CH,2018,4.7,
ESTAT:TPS00019(1.0),05/07/21 23:00:00,A,CNMIGRATRT,CH,2019,5.0,
ESTAT:TPS00019(1.0),05/07/21 23:00:00,A,CNMIGRATRT,CH,2020,5.9,p
ESTAT:TPS00019(1.0),05/07/21 23:00:00,A,CNMIGRATRT,CY,2009,22.0,
ESTAT:TPS00019(1.0),05/07/21 23:00:00,A,CNMIGRATRT,CY,2010,19.2,
ESTAT:TPS00019(1.0),05/07/21 23:00:00,A,CNMIGRATRT,CY,2011,21.3,
ESTAT:TPS00019(1.0),05/07/21 23:00:00,A,CNMIGRATRT,CY,2012,-0.7,
ESTAT:TPS00019(1.0),05/07/21 23:00:00,A,CNMIGRATRT,CY,2013,-14.0,
ESTAT:TPS00019(1.0),05/07/21 23:00:00,A,CNMIGRATRT,CY,2014,-17.4,
ESTAT:TPS00019(1.0),05/07/21 23:00:00,A,CNMIGRATRT,CY,2015,-2.4,
ESTAT:TPS00019(1.0),05/07/21 23:00:00,A,CNMIGRATRT,CY,2016,2.9,
